movieId,title,genres,description
1,Movie 1,Romance,"This is a synthetic description for Movie 1, a Romance film created for the CineMatch demo dataset."
2,Movie 2,"Drama, Thriller","This is a synthetic description for Movie 2, a Drama, Thriller film created for the CineMatch demo dataset."
3,Movie 3,Romance,"This is a synthetic description for Movie 3, a Romance film created for the CineMatch demo dataset."
4,Movie 4,Action,"This is a synthetic description for Movie 4, a Action film created for the CineMatch demo dataset."
5,Movie 5,"Romance, Thriller","This is a synthetic description for Movie 5, a Romance, Thriller film created for the CineMatch demo dataset."
6,Movie 6,"Drama, Sci-Fi, Action","This is a synthetic description for Movie 6, a Drama, Sci-Fi, Action film created for the CineMatch demo dataset."
7,Movie 7,"Comedy, Thriller","This is a synthetic description for Movie 7, a Comedy, Thriller film created for the CineMatch demo dataset."
8,Movie 8,"Thriller, Drama, Romance","This is a synthetic description for Movie 8, a Thriller, Drama, Romance film created for the CineMatch demo dataset."
9,Movie 9,"Comedy, Action","This is a synthetic description for Movie 9, a Comedy, Action film created for the CineMatch demo dataset."
10,Movie 10,"Thriller, Romance, Action","This is a synthetic description for Movie 10, a Thriller, Romance, Action film created for the CineMatch demo dataset."
11,Movie 11,Romance,"This is a synthetic description for Movie 11, a Romance film created for the CineMatch demo dataset."
12,Movie 12,"Comedy, Thriller, Action","This is a synthetic description for Movie 12, a Comedy, Thriller, Action film created for the CineMatch demo dataset."
13,Movie 13,"Comedy, Sci-Fi, Romance","This is a synthetic description for Movie 13, a Comedy, Sci-Fi, Romance film created for the CineMatch demo dataset."
14,Movie 14,"Sci-Fi, Action","This is a synthetic description for Movie 14, a Sci-Fi, Action film created for the CineMatch demo dataset."
15,Movie 15,"Drama, Thriller, Romance","This is a synthetic description for Movie 15, a Drama, Thriller, Romance film created for the CineMatch demo dataset."
16,Movie 16,"Thriller, Comedy","This is a synthetic description for Movie 16, a Thriller, Comedy film created for the CineMatch demo dataset."
17,Movie 17,Drama,"This is a synthetic description for Movie 17, a Drama film created for the CineMatch demo dataset."
18,Movie 18,"Drama, Action, Thriller","This is a synthetic description for Movie 18, a Drama, Action, Thriller film created for the CineMatch demo dataset."
19,Movie 19,Comedy,"This is a synthetic description for Movie 19, a Comedy film created for the CineMatch demo dataset."
20,Movie 20,"Thriller, Sci-Fi","This is a synthetic description for Movie 20, a Thriller, Sci-Fi film created for the CineMatch demo dataset."
21,Movie 21,Romance,"This is a synthetic description for Movie 21, a Romance film created for the CineMatch demo dataset."
22,Movie 22,"Action, Sci-Fi","This is a synthetic description for Movie 22, a Action, Sci-Fi film created for the CineMatch demo dataset."
23,Movie 23,"Drama, Sci-Fi, Romance","This is a synthetic description for Movie 23, a Drama, Sci-Fi, Romance film created for the CineMatch demo dataset."
24,Movie 24,"Thriller, Comedy, Romance","This is a synthetic description for Movie 24, a Thriller, Comedy, Romance film created for the CineMatch demo dataset."
25,Movie 25,"Action, Romance, Thriller","This is a synthetic description for Movie 25, a Action, Romance, Thriller film created for the CineMatch demo dataset."
26,Movie 26,"Thriller, Romance, Drama","This is a synthetic description for Movie 26, a Thriller, Romance, Drama film created for the CineMatch demo dataset."
27,Movie 27,"Drama, Sci-Fi","This is a synthetic description for Movie 27, a Drama, Sci-Fi film created for the CineMatch demo dataset."
28,Movie 28,Action,"This is a synthetic description for Movie 28, a Action film created for the CineMatch demo dataset."
29,Movie 29,Action,"This is a synthetic description for Movie 29, a Action film created for the CineMatch demo dataset."
30,Movie 30,"Thriller, Sci-Fi","This is a synthetic description for Movie 30, a Thriller, Sci-Fi film created for the CineMatch demo dataset."
31,Movie 31,"Drama, Romance, Action","This is a synthetic description for Movie 31, a Drama, Romance, Action film created for the CineMatch demo dataset."
32,Movie 32,"Drama, Action","This is a synthetic description for Movie 32, a Drama, Action film created for the CineMatch demo dataset."
33,Movie 33,"Action, Comedy, Sci-Fi","This is a synthetic description for Movie 33, a Action, Comedy, Sci-Fi film created for the CineMatch demo dataset."
34,Movie 34,"Action, Comedy, Drama","This is a synthetic description for Movie 34, a Action, Comedy, Drama film created for the CineMatch demo dataset."
35,Movie 35,Comedy,"This is a synthetic description for Movie 35, a Comedy film created for the CineMatch demo dataset."
36,Movie 36,"Romance, Action, Comedy","This is a synthetic description for Movie 36, a Romance, Action, Comedy film created for the CineMatch demo dataset."
37,Movie 37,"Sci-Fi, Action","This is a synthetic description for Movie 37, a Sci-Fi, Action film created for the CineMatch demo dataset."
38,Movie 38,"Sci-Fi, Thriller","This is a synthetic description for Movie 38, a Sci-Fi, Thriller film created for the CineMatch demo dataset."
39,Movie 39,"Drama, Thriller","This is a synthetic description for Movie 39, a Drama, Thriller film created for the CineMatch demo dataset."
40,Movie 40,Comedy,"This is a synthetic description for Movie 40, a Comedy film created for the CineMatch demo dataset."
41,Movie 41,"Thriller, Action","This is a synthetic description for Movie 41, a Thriller, Action film created for the CineMatch demo dataset."
42,Movie 42,"Sci-Fi, Drama, Thriller","This is a synthetic description for Movie 42, a Sci-Fi, Drama, Thriller film created for the CineMatch demo dataset."
43,Movie 43,"Drama, Action, Romance","This is a synthetic description for Movie 43, a Drama, Action, Romance film created for the CineMatch demo dataset."
44,Movie 44,"Action, Drama","This is a synthetic description for Movie 44, a Action, Drama film created for the CineMatch demo dataset."
45,Movie 45,Comedy,"This is a synthetic description for Movie 45, a Comedy film created for the CineMatch demo dataset."
46,Movie 46,"Sci-Fi, Drama, Thriller","This is a synthetic description for Movie 46, a Sci-Fi, Drama, Thriller film created for the CineMatch demo dataset."
47,Movie 47,"Action, Drama","This is a synthetic description for Movie 47, a Action, Drama film created for the CineMatch demo dataset."
48,Movie 48,"Romance, Drama","This is a synthetic description for Movie 48, a Romance, Drama film created for the CineMatch demo dataset."
49,Movie 49,"Comedy, Romance","This is a synthetic description for Movie 49, a Comedy, Romance film created for the CineMatch demo dataset."
50,Movie 50,Romance,"This is a synthetic description for Movie 50, a Romance film created for the CineMatch demo dataset."
51,Movie 51,Romance,"This is a synthetic description for Movie 51, a Romance film created for the CineMatch demo dataset."
52,Movie 52,"Sci-Fi, Thriller, Comedy","This is a synthetic description for Movie 52, a Sci-Fi, Thriller, Comedy film created for the CineMatch demo dataset."
53,Movie 53,"Action, Romance","This is a synthetic description for Movie 53, a Action, Romance film created for the CineMatch demo dataset."
54,Movie 54,"Action, Sci-Fi, Comedy","This is a synthetic description for Movie 54, a Action, Sci-Fi, Comedy film created for the CineMatch demo dataset."
55,Movie 55,"Action, Drama","This is a synthetic description for Movie 55, a Action, Drama film created for the CineMatch demo dataset."
56,Movie 56,Romance,"This is a synthetic description for Movie 56, a Romance film created for the CineMatch demo dataset."
57,Movie 57,"Thriller, Sci-Fi","This is a synthetic description for Movie 57, a Thriller, Sci-Fi film created for the CineMatch demo dataset."
58,Movie 58,Sci-Fi,"This is a synthetic description for Movie 58, a Sci-Fi film created for the CineMatch demo dataset."
59,Movie 59,Sci-Fi,"This is a synthetic description for Movie 59, a Sci-Fi film created for the CineMatch demo dataset."
60,Movie 60,Sci-Fi,"This is a synthetic description for Movie 60, a Sci-Fi film created for the CineMatch demo dataset."
61,Movie 61,"Romance, Action","This is a synthetic description for Movie 61, a Romance, Action film created for the CineMatch demo dataset."
62,Movie 62,"Romance, Drama, Action","This is a synthetic description for Movie 62, a Romance, Drama, Action film created for the CineMatch demo dataset."
63,Movie 63,"Romance, Action","This is a synthetic description for Movie 63, a Romance, Action film created for the CineMatch demo dataset."
64,Movie 64,Sci-Fi,"This is a synthetic description for Movie 64, a Sci-Fi film created for the CineMatch demo dataset."
65,Movie 65,"Action, Comedy, Thriller","This is a synthetic description for Movie 65, a Action, Comedy, Thriller film created for the CineMatch demo dataset."
66,Movie 66,"Comedy, Sci-Fi","This is a synthetic description for Movie 66, a Comedy, Sci-Fi film created for the CineMatch demo dataset."
67,Movie 67,Action,"This is a synthetic description for Movie 67, a Action film created for the CineMatch demo dataset."
68,Movie 68,Thriller,"This is a synthetic description for Movie 68, a Thriller film created for the CineMatch demo dataset."
69,Movie 69,"Drama, Thriller","This is a synthetic description for Movie 69, a Drama, Thriller film created for the CineMatch demo dataset."
70,Movie 70,Action,"This is a synthetic description for Movie 70, a Action film created for the CineMatch demo dataset."
71,Movie 71,Drama,"This is a synthetic description for Movie 71, a Drama film created for the CineMatch demo dataset."
72,Movie 72,"Thriller, Drama, Comedy","This is a synthetic description for Movie 72, a Thriller, Drama, Comedy film created for the CineMatch demo dataset."
73,Movie 73,"Romance, Drama","This is a synthetic description for Movie 73, a Romance, Drama film created for the CineMatch demo dataset."
74,Movie 74,"Drama, Comedy, Sci-Fi","This is a synthetic description for Movie 74, a Drama, Comedy, Sci-Fi film created for the CineMatch demo dataset."
75,Movie 75,Action,"This is a synthetic description for Movie 75, a Action film created for the CineMatch demo dataset."
76,Movie 76,"Romance, Action","This is a synthetic description for Movie 76, a Romance, Action film created for the CineMatch demo dataset."
77,Movie 77,"Action, Comedy","This is a synthetic description for Movie 77, a Action, Comedy film created for the CineMatch demo dataset."
78,Movie 78,Action,"This is a synthetic description for Movie 78, a Action film created for the CineMatch demo dataset."
79,Movie 79,"Action, Sci-Fi","This is a synthetic description for Movie 79, a Action, Sci-Fi film created for the CineMatch demo dataset."
80,Movie 80,Sci-Fi,"This is a synthetic description for Movie 80, a Sci-Fi film created for the CineMatch demo dataset."
81,Movie 81,"Romance, Thriller, Drama","This is a synthetic description for Movie 81, a Romance, Thriller, Drama film created for the CineMatch demo dataset."
82,Movie 82,"Thriller, Romance","This is a synthetic description for Movie 82, a Thriller, Romance film created for the CineMatch demo dataset."
83,Movie 83,Action,"This is a synthetic description for Movie 83, a Action film created for the CineMatch demo dataset."
84,Movie 84,Sci-Fi,"This is a synthetic description for Movie 84, a Sci-Fi film created for the CineMatch demo dataset."
85,Movie 85,"Comedy, Thriller","This is a synthetic description for Movie 85, a Comedy, Thriller film created for the CineMatch demo dataset."
86,Movie 86,"Thriller, Romance","This is a synthetic description for Movie 86, a Thriller, Romance film created for the CineMatch demo dataset."
87,Movie 87,Thriller,"This is a synthetic description for Movie 87, a Thriller film created for the CineMatch demo dataset."
88,Movie 88,"Comedy, Sci-Fi","This is a synthetic description for Movie 88, a Comedy, Sci-Fi film created for the CineMatch demo dataset."
89,Movie 89,"Romance, Thriller, Comedy","This is a synthetic description for Movie 89, a Romance, Thriller, Comedy film created for the CineMatch demo dataset."
90,Movie 90,"Comedy, Action","This is a synthetic description for Movie 90, a Comedy, Action film created for the CineMatch demo dataset."
91,Movie 91,"Thriller, Action, Sci-Fi","This is a synthetic description for Movie 91, a Thriller, Action, Sci-Fi film created for the CineMatch demo dataset."
92,Movie 92,"Thriller, Comedy, Sci-Fi","This is a synthetic description for Movie 92, a Thriller, Comedy, Sci-Fi film created for the CineMatch demo dataset."
93,Movie 93,"Comedy, Action","This is a synthetic description for Movie 93, a Comedy, Action film created for the CineMatch demo dataset."
94,Movie 94,"Drama, Sci-Fi","This is a synthetic description for Movie 94, a Drama, Sci-Fi film created for the CineMatch demo dataset."
95,Movie 95,"Romance, Action, Sci-Fi","This is a synthetic description for Movie 95, a Romance, Action, Sci-Fi film created for the CineMatch demo dataset."
96,Movie 96,Thriller,"This is a synthetic description for Movie 96, a Thriller film created for the CineMatch demo dataset."
97,Movie 97,"Thriller, Romance, Action","This is a synthetic description for Movie 97, a Thriller, Romance, Action film created for the CineMatch demo dataset."
98,Movie 98,"Action, Comedy, Sci-Fi","This is a synthetic description for Movie 98, a Action, Comedy, Sci-Fi film created for the CineMatch demo dataset."
99,Movie 99,"Action, Comedy, Sci-Fi","This is a synthetic description for Movie 99, a Action, Comedy, Sci-Fi film created for the CineMatch demo dataset."
100,Movie 100,"Sci-Fi, Thriller, Comedy","This is a synthetic description for Movie 100, a Sci-Fi, Thriller, Comedy film created for the CineMatch demo dataset."
101,Movie 101,"Thriller, Action","This is a synthetic description for Movie 101, a Thriller, Action film created for the CineMatch demo dataset."
102,Movie 102,Comedy,"This is a synthetic description for Movie 102, a Comedy film created for the CineMatch demo dataset."
103,Movie 103,Action,"This is a synthetic description for Movie 103, a Action film created for the CineMatch demo dataset."
104,Movie 104,Romance,"This is a synthetic description for Movie 104, a Romance film created for the CineMatch demo dataset."
105,Movie 105,"Action, Comedy, Sci-Fi","This is a synthetic description for Movie 105, a Action, Comedy, Sci-Fi film created for the CineMatch demo dataset."
106,Movie 106,"Drama, Romance, Comedy","This is a synthetic description for Movie 106, a Drama, Romance, Comedy film created for the CineMatch demo dataset."
107,Movie 107,Romance,"This is a synthetic description for Movie 107, a Romance film created for the CineMatch demo dataset."
108,Movie 108,Romance,"This is a synthetic description for Movie 108, a Romance film created for the CineMatch demo dataset."
109,Movie 109,"Action, Thriller, Drama","This is a synthetic description for Movie 109, a Action, Thriller, Drama film created for the CineMatch demo dataset."
110,Movie 110,Drama,"This is a synthetic description for Movie 110, a Drama film created for the CineMatch demo dataset."
111,Movie 111,"Comedy, Drama, Action","This is a synthetic description for Movie 111, a Comedy, Drama, Action film created for the CineMatch demo dataset."
112,Movie 112,Thriller,"This is a synthetic description for Movie 112, a Thriller film created for the CineMatch demo dataset."
113,Movie 113,"Comedy, Thriller","This is a synthetic description for Movie 113, a Comedy, Thriller film created for the CineMatch demo dataset."
114,Movie 114,"Action, Sci-Fi","This is a synthetic description for Movie 114, a Action, Sci-Fi film created for the CineMatch demo dataset."
115,Movie 115,Sci-Fi,"This is a synthetic description for Movie 115, a Sci-Fi film created for the CineMatch demo dataset."
116,Movie 116,"Sci-Fi, Action, Thriller","This is a synthetic description for Movie 116, a Sci-Fi, Action, Thriller film created for the CineMatch demo dataset."
117,Movie 117,Thriller,"This is a synthetic description for Movie 117, a Thriller film created for the CineMatch demo dataset."
118,Movie 118,Sci-Fi,"This is a synthetic description for Movie 118, a Sci-Fi film created for the CineMatch demo dataset."
119,Movie 119,Thriller,"This is a synthetic description for Movie 119, a Thriller film created for the CineMatch demo dataset."
120,Movie 120,"Sci-Fi, Thriller, Drama","This is a synthetic description for Movie 120, a Sci-Fi, Thriller, Drama film created for the CineMatch demo dataset."
